"id","name"
"skvr_505","Fellman, J."
"skvr_506","Inha, I. K."
"skvr_507","Karjalainen, K."
"skvr_508","Jouhki, Sakari"
"skvr_509","Schröter, Hans Rudolf von"
"skvr_510","Valtionarkisto"
"skvr_511","Ranta, Juho"
"skvr_512","Liljeblad, J. F."
"skvr_513","Huovinen, Jakob"
"skvr_514","Jalkanen, Juho"
"skvr_515","Keränen, E."
"skvr_516","Mustakallio, Jooseppi"
"skvr_517","Lesonen, Nasti"
"skvr_518","Marttini, Olona"
"skvr_519","Prihti, Vihtori"
"skvr_520","Tolonen, Vilho"
"skvr_521","Voutila, M."
"skvr_522","Juvelius, J. W."
"skvr_523","Törneroos, A."
"skvr_524","Törneroos ja Tallqvist"
"skvr_525","Stråhlman, K."
"skvr_526","Ahava, Paavo"
"skvr_527","Saarinen, Eliel"
"skvr_528","Putkonen, Pekka"
"skvr_529","Kouhia, J."
"skvr_530","Granholm"
"skvr_531","Jaakkimainen, J. E."
"skvr_533","Haltsonen, Aatu"
"skvr_534","Inki, P."
"skvr_535","Kupri, A."
"skvr_536","Kärki, Frans"
"skvr_537","Patomäki, K. A."
"skvr_538","Tornion alakouluseminaari"
"skvr_539","Niukkanen, P."
"skvr_540","Kuha, Iisakki"
"skvr_541","Ikonen, Lyyli"
"skvr_542","Iho, Aapo"
"skvr_543","Lorvi, J."
"skvr_544","Paturi, S."
"skvr_545","Riipinen, Joonas"
"skvr_546","Tikka, Juuso"
"skvr_547","Tynni, Kaapre"
"skvr_548","Räikkönen, Eino"
"skvr_549","Häyhänen, Johannes"
"skvr_550","Pajula, Fanny M."
"skvr_551","Saxbäck, Fr. A."
"skvr_552","Slöör, Kaarlo"
"skvr_553","Tiihonen, Nikolai"
"skvr_554","Tiinus, Helena"
"skvr_555","Valmari, Ari"
"skvr_556","Virolainen, Matti"
"skvr_557","Aalto, Juho"
"skvr_558","Aavikko, Armas"
"skvr_559","Björck, A."
"skvr_560","Saarimaa, Eemil"
"skvr_561","Laine, Elli"
"skvr_562","Forsander, A. J."
"skvr_563","Heinonen, J. K."
"skvr_564","Hildén, A."
"skvr_565","Hjorth, G. E."
"skvr_566","Häyrinen, Kalle"
"skvr_567","Höijer E. B."
"skvr_568","Iisalo, Kaarlo"
"skvr_569","Iisalo, Yrjö"
"skvr_570","Inkilä, Edv."
"skvr_571","Isotalo, Paavo"
"skvr_572","Isotalo, A."
"skvr_573","Jaatinen, Jalmari"
"skvr_574","Jansen, Alma"
"skvr_575","Kallio, Ilmari"
"skvr_576","Kangastus, A."
"skvr_577","Kannisto, Eero"
"skvr_578","Ketolainen, Eemil"
"skvr_579","Kesälä, Eelis"
"skvr_580","Kivialho, Kaaperi"
"skvr_581","Kivisaari, Lauri"
"skvr_582","Koisaari, Alli"
"skvr_583","Koskenpää, Martta"
"skvr_584","Koskinen, Lauri"
"skvr_585","Seppänen, Iina"
"skvr_586","Kärnä, Saima"
"skvr_587","Laaksonen, Salli"
"skvr_588","Laine, M."
"skvr_589","Lang, Ingrid"
"skvr_590","Lehtinen, Arvo"
"skvr_591","Lehtisalo, T. V."
"skvr_592","Leivo, Frans"
"skvr_593","Liipola, J. S."
"skvr_594","Lindqvist, Aleksander"
"skvr_595","Maanviljelyslyseon Toverikunta"
"skvr_596","Mannerhovi, N. V."
"skvr_597","Marjanen, Vilho"
"skvr_598","Merikallio, K."
"skvr_599","Merilä, Olga"
"skvr_600","Moision kansakoulu"
"skvr_601","Myrsky, Vilho"
"skvr_602","Numminen, Jalo"
"skvr_603","Nurmi, J. E."
"skvr_604","Nyyrikki, Ella"
"skvr_605","Pennanen, S."
"skvr_606","Pero, J. K."
"skvr_607","Petersen, Anna"
"skvr_608","Pettersson, K. V."
"skvr_609","Raitio, Elli"
