t010200_0110	Hilppa
t010200_0120	Hurtan tunnustus
t010200_0130	Ihmeellinen uni
t010200_0135	Jauhan jaarittelen
t010200_0140	Jos ei mene päällisin puolin
t010200_0150	Jumala ja Saatana maailmaa luomassa
t010200_0160	Jumala, vie meitä kauniisti omaan rantaan
t010200_0170	Juutit
t010200_0180	Järvien syvyys
t010200_0190	Jättiläis- ja paholaistaruja
t010200_0200	Kaksi on karjassa, kaksi on marjassa
t010200_0210	Karkun kirkosta ja asutuksesta: historiallisia tarinoita
t010200_0220	Kasken kaato
t010200_0230	Kaunis Kaija
t010200_0240	Kehruukiven taru
t010200_0250	Kengässä uro parempi
t010200_0260	Kiirastorstaina kehrännyt
t010200_0270	Kilikka Kalikan tappoi
t010200_0280	Killi kirkkoja tekee
t010200_0290	Kivi kiitti, kanto kantto
t010200_0300	Klaus Kurki
t010200_0310	Koin kulku
t010200_0320	Korpin juoni
t010200_0330	Kukko lauloi: kuningas kuolee
t010200_0340	Kuu kehässä, taivas tähessä
t010200_0350	Kuu paistaa, kuollut ajaa
t010200_0360	Käärme syö maan vihoja
t010200_0370	Käärmeitä pitää tappaa
t010200_0380	Laiska Jaakko
t010200_0390	Maahiaisen lehmän kutsu
t010200_0400	Metsänhaltija ja nainen
t010200_0410	Niin sanoi Savon näkijä
t010200_0420	Noidan laulu
t010200_0430	Noidan louheen meno
t010200_0440	Noita nosti pahan
t010200_0450	Noitien taistelu
t010200_0460	Orava, kinnas ja neula
t010200_0470	Paholaisen retket
t010200_0480	Paimenen hätä
t010200_0490	Paisto muamo kakkarua
t010200_0500	Pappi kysyy: mistä ihminen luotiin?
t010200_0510	Piru ja kirkkomies
t010200_0520	Piru neuvoo
t010200_0530	Pirun valitus
t010200_0540	"Puranko, kerinkö?"
t010200_0550	Pyhäkosken nimen synty
t010200_0560	Pyhänä kalassa
t010200_0570	Pyyn tarina
t010200_0580	Rajahaltia
t010200_0590	Riihitonttu
t010200_0600	Saarten synty (Piru meren pohjasta mutaa)
t010200_0610	Sissejä paennut
t010200_0620	Soi, soi, surman ruoka
t010200_0630	Syöjätär ja tyttö
t010200_0640	Tee kirkko Karsattiin
t010200_0650	Tittilän Tuure
t010200_0660	Tonttu
t010200_0670	Tulkaa kotiin, nyt on rauha
t010200_0680	Tuolla laajassa lahessa
t010200_0690	Vaskiportti-tarina
t010200_0700	Vastaksessa
t010200_0710	Vedenhaltijan lehmät
t010200_0720	Vedenhaltijan nostaminen
t010200_0730	Vieri, kieri kakkarani
t010200_0740	Viina Vilmin vietteli
t010200_0750	Viisaampansa vieressä yönsä maannut
t010200_0760	Vitsari ja Kööpeli
t010200_0770	Vorna
t010200_0780	Äpärä parkuu
t010300_0010	Aatami Kärpäsen naimahuolet
t010300_0020	Ajatteli aika Ankapuura
t010300_0030	Annin luona yöjalassa
t010300_0040	Antti lantti lammaspaimen laski lampaat kotiin
t010300_0050	Aunuksen väliä ajelin
t010300_0060	Ei ole kuultu kummempata
t010300_0070	Ei paina paidanpäärme
t010300_0075	Eläimen tappo ja jakaminen
t010300_0080	Haaksirikko
t010300_0090	Hartsonan kapakka
t010300_0100	Hauen vatsasta poika
t010300_0110	Hekko tyttö oli hemmo tyttö
t010300_0120	Hevahuisen tervaherra
t010300_0130	Hevosen jako eri taloihin
t010300_0150	Hevosen pilaus kosiomatkalla
t010300_0160	Hevosen vaihtanut
t010300_0170	Hiiret söivät hiukset päästä - itkien kotiin
t010300_0180	Hiitolan häät
t010300_0190	Hikko on hil´l´a muulla työllä
t010300_0200	Himonassin Helena
t010300_0210	Hovin ropotti ja kymmenniekat
t010300_0220	Hovin sulho vei tytön - itkien kotiin
t010300_0230	Huittu poika lammasta talutti
t010300_0240	Hulin Matti huima poika
t010300_0250	Huonossa hovissa
t010300_0260	Huotari huhueloo
t010300_0270	Husulassa hullu pappi
t010300_0280	Hyttylän Eeva, Anni, Maikku
t010300_0290	Häissä häpeät tehnyt
t010300_0300	Häitten häpäisy
t010300_0310	Härän Mari, hame tari
t010300_0320	Härän tappaja
t010300_0330	Häälaulu
t010300_0340	Häät on häjyn pesässä
t010300_0350	Ieva, Saaren sisko
t010300_0360	Iisakki iso isäntä
t010300_0370	Iivana, ihalmo poika
t010300_0380	Iivana Iron varasti
t010300_0390	Ilveksen tappo
t010300_0410	Jukan Paavo kosiin
t010300_0420	Jukkolaiset polttivat laivan
t010300_0430	Juomari ja siat
t010300_0440	Jyrin Antti jyrkähytti
t010300_0450	Jääskeläisten nuotanveto
t010300_0460	Kahvenitsan kauniit piiat
t010300_0470	Kajava istuu merellä
t010300_0480	Kalanpyytäjä
t010300_0485	Kaks' ol' miestä kaikkiaan Tahvanaisen talkoissa
t010300_0490	Kanavan rakennus
t010300_0500	Karjalainen sysätään kanavaan
t010300_0510	Karjalan neidon kosinta
